category,pattern_or_file,count,rationale,replacement_or_status
model,matched_no_contact_reference*,2,"Invalid exploratory interpretation of legacy 060mm label as 60 mm","Replaced by matched_no_contact_0p6_reference"
model,matched_no_contact_movement025*,2,"Invalid exploratory interpretation of legacy 060mm label as 60 mm","Replaced by matched_no_contact_0p6_movement025"
model,garment_mesh_coarse_*,4,"Invalid exploratory 60-mm geometry","Replaced by garment_mesh_0p6_coarse/current cases"
model,garment_mesh_coarse56_*,4,"Invalid exploratory 60-mm geometry","Replaced by garment_mesh_0p6_coarse56 cases"
model,garment_mesh_fine72_*,4,"Invalid exploratory 60-mm geometry","Replaced by garment_mesh_0p6_fine72 cases"
model,garment_mesh_fine80_*,2,"Invalid exploratory 60-mm geometry","No reported value depends on this input"
model,relativeF_full_garment_*,6,"Invalid exploratory 60-mm transferred-gradient cases","Replaced by relativeF0p6_full_garment_*"
model,coupon_baseline.feb,1,"Early legacy coupon export without matching submission metadata","Reported baseline is geometry_sensor_length_80"
model,mesh_metadata.json,1,"Legacy generic metadata without a corresponding FEBio input","Case-specific metadata retained"
results,matched_no_contact_reference*,1,"Output from invalid exploratory case","Valid 0p6 output retained"
results,matched_no_contact_movement025*,1,"Output from invalid exploratory case","Valid 0p6 output retained"
results,garment_mesh_coarse_*,1,"Output from invalid exploratory case","Valid 0p6 output retained"
results,garment_mesh_coarse56_*,2,"Outputs from invalid exploratory cases","Valid 0p6 outputs retained"
results,garment_mesh_fine72_*,2,"Outputs from invalid exploratory cases","Valid 0p6 outputs retained"
results,relativeF_full_garment_*,2,"Outputs from invalid exploratory cases","Valid relativeF0p6 outputs retained"
script,scripts/move_floats_to_end.pl,1,"Manuscript formatting utility; not computational analysis","Excluded"
script,scripts/plot_contact_verification_publication.py,1,"Superseded contact figure design","Final v2 script retained"
script,scripts/plot_matched_garment_controls.py,1,"Superseded pre-publication figure design","Final publication script retained"
script,scripts/plot_relative_F_sensor_mesh.py,1,"Superseded pre-publication figure design","Final trajectory script retained"
script,scripts/plot_relative_F_sensor_mesh_publication.py,1,"Superseded intermediate figure design","Final trajectory script retained"
script,scripts/plot_garment_kinematic_screen.py,1,"Superseded combined layout/signature plotting utility","Separate final publication scripts retained"
script,scripts/plot_contact_aware_sensor_submodels.py,1,"Exploratory plot not included in the manuscript or supplement","Numerical results and run script retained"
