claim_id,manuscript_location,supporting_data,generating_or_plotting_script,case_selection,scope_note
F1,Main Figure 1 geometry screening,"results/geometry_screening.csv; results/geometry_screening.json","scripts/run_geometry_screening.py; scripts/plot_geometry_screening.py","geometry_sensor_length_*; geometry_sensor_width_*; geometry_backing_thickness_*; geometry_conductive_thickness_*","One-factor-at-a-time coupon geometry screen"
F2,Main Figure 2 taper screening,"results/taper_screening.csv; results/taper_screening.json","scripts/run_taper_screening.py; scripts/plot_taper_screening.py","taper_0mm_local_medium; taper_2p5mm_local_medium; taper_5mm_local_medium; taper_10mm_local_medium","Printed-edge taper comparison"
F3,Main Figure 3 taper mesh audit,"results/taper_mesh_convergence_10mm_tip25pct.csv; results/taper_mesh_convergence_10mm_tip25pct.json; results/taper_mesh_quality.json","scripts/run_taper_mesh_convergence.py; scripts/audit_taper_mesh_quality.py; scripts/plot_taper_mesh_convergence.py","taper_mesh_10mm_tip25pct_local_coarse; taper_mesh_10mm_tip25pct_local_medium; taper_mesh_10mm_tip25pct_local_fine","Three tested local meshes; not an asymptotic convergence claim"
F4,Main Figure 4 reduced orientation screen,"results/orientation_screening.csv; results/orientation_screening.json","scripts/run_orientation_screening.py; scripts/plot_orientation_screening.py","Reduced analytical finite-stretch states; no FEBio case","Orientation observability screen"
F5,Main Figure 5 full-field orientation,"results/fullfield_orientation.csv; results/fullfield_orientation.json","scripts/run_fullfield_orientation.py; scripts/plot_fullfield_and_anisotropy.py","fullfield_angle_minus_60_local_medium; fullfield_angle_plus_0_local_medium; fullfield_angle_plus_60_local_medium","Affine full-field coupon cases"
F6,Main Figure 6 material sensitivity,"results/material_sensitivity.csv; results/material_sensitivity.json","scripts/run_material_sensitivity.py; scripts/plot_material_sensitivity.py","material_*","Uncalibrated constitutive brackets"
F7,Main Figure 7 textile anisotropy,"results/textile_anisotropy.csv; results/textile_anisotropy.json","scripts/run_textile_anisotropy.py; scripts/plot_textile_anisotropy_matrix.py","anisotropy_*","Illustrative two-fibre textile cases"
F8,Main Figure 8 sensor layout,references/garment_layout_normalized.json,"scripts/compose_generated_garment_layout.py; scripts/plot_garment_layout_publication.py","No FEBio case","Canonical normalized ten-sensor map"
F9,Main Figure 9 garment kinematic signatures,"results/garment_kinematic_screen.csv; results/garment_kinematic_screen.json","scripts/run_garment_kinematic_screen.py; scripts/plot_garment_kinematic_signatures_publication.py","Seven normalized compatible fields","Reduced contact-free comparator"
F10,Main Figure 10 fitted-contact verification,"model/garment_fit_torso_expand_060mm_manual.feb; model/garment_fit_torso_expand_060mm_manual_metadata.json; results/garment_fit_torso_expand_060mm_manual_summary.json; results/garment_fit_torso_expand_060mm_manual.log","scripts/generate_garment_contact.py; scripts/postprocess_garment_contact.py; scripts/plot_contact_verification_publication_v2.py",garment_fit_torso_expand_060mm_manual,"The included log contains the final coordinate and facet-contact records required by the plot"
F11,Main Figure 11 matched garment controls,"results/matched_garment_controls.csv; results/matched_garment_controls.json","scripts/run_matched_garment_controls.py; scripts/plot_matched_garment_controls_publication.py","matched_no_contact_0p6_*; garment_mesh_0p6_*; garment_fit_torso_expand_060mm_manual; garment_both_arms_raise_025","Reduced versus full-garment no-contact versus contact comparison"
F12,Main Figure 12 full-garment reversal field,"results/matched_no_contact_0p6_reference.log; results/matched_no_contact_0p6_movement025.log; results/garment_fit_torso_expand_060mm_manual.log; results/garment_both_arms_raise_025.log; references/garment_layout_normalized.json","scripts/postprocess_garment_contact.py; scripts/postprocess_garment_movement.py; scripts/plot_full_garment_reversal_field.py; scripts/plot_full_garment_reversal_field_publication.py","matched_no_contact_0p6_reference; matched_no_contact_0p6_movement025; garment_fit_torso_expand_060mm_manual; garment_both_arms_raise_025","Four included compact solver logs are sufficient to reconstruct the plotted fields"
F13,Main Figure 13 resolved sensor mesh audit,"results/relative_F_sensor_mesh.csv; results/relative_F_sensor_mesh.json","scripts/run_relative_F_sensor_mesh.py; scripts/plot_relative_F_sensor_mesh_trajectory.py","relativeF0p6_full_garment_{no_contact,contact}_{s3,s9}_local_{coarse,medium,fine}","Final trajectory-style figure; three tested meshes"
T1,Main Table 1 literature comparison,"No numerical archive dependency","No computational script","Not applicable","Literature synthesis"
T2,Main Table 2 constitutive inputs,"results/constitutive_parameters.csv; references/material_basis.md","scripts/build_reproducibility_tables.py","All reported material cases","Nominal assumptions and sensitivity brackets"
T3,Main Table 3 baseline configurations,results/baseline_configurations.csv,scripts/build_reproducibility_tables.py,"geometry_sensor_length_80; geometry_verify_baseline_medium; local_mesh_coarse; local_mesh_medium; taper_5mm_local_medium; taper_10mm_local_medium","Distinct numerical baselines"
T4,Main Table 4 interface sensitivity,"results/interface_sensitivity.csv; results/interface_sensitivity.json",scripts/run_interface_sensitivity.py,"interface_*","Compliance and initialized-debond sensitivity"
T5,Main Table 5 three-way causal comparison,"results/matched_garment_controls.csv; results/matched_garment_controls.json",scripts/run_matched_garment_controls.py,"matched no-contact 0p6 and matched contact pair","Values underlying Figure 11"
S2,Supplement S2 complete geometry screen,"results/geometry_screening_complete.csv; results/geometry_interaction.csv; results/geometry_interaction.json; results/geometry_medium_verification.csv","scripts/build_reproducibility_tables.py; scripts/run_geometry_interaction.py; scripts/run_geometry_verification.py","geometry_*","Complete geometry and limited interaction values"
S2.2,Supplement S2.2 taper quality,"results/taper_mesh_quality.json; results/taper_mesh_convergence_10mm_tip25pct.csv",scripts/audit_taper_mesh_quality.py,"taper_mesh_10mm_tip25pct_*","Reference-element quality audit"
S2.3,Supplement S2.3 interface cases,"results/interface_sensitivity.csv; results/interface_sensitivity.json",scripts/run_interface_sensitivity.py,"interface_*","Complete interface sensitivity"
S2.4,Supplement S2.4 orientation values,"results/orientation_screening.csv; results/orientation_screening.json",scripts/run_orientation_screening.py,"Reduced analytical states","No FEBio case"
S2.5,Supplement S2.5 constitutive shape,"results/constitutive_shape_sensitivity.csv; results/constitutive_shape_sensitivity.json",scripts/run_constitutive_shape_sensitivity.py,"compressibility_*; shape_*","Compressibility and nonlinear fibre-shape screen"
S3,Supplement S3 reproducibility record,"results/case_manifest.csv; results/software_versions.json; claim_to_file_manifest.csv",scripts/build_reproducibility_tables.py,"206 valid indexed cases","Case and claim mapping"
S4,Supplement S4 verification and robustness,"results/case_manifest.csv; results/friction_sensitivity.csv; results/friction_sensitivity.json; results/garment_contact_sensitivity.csv; results/garment_contact_sensitivity.json","scripts/build_friction_sensitivity.py; scripts/run_garment_contact_sensitivity.py","garment_friction_*; contact_sensitivity_*","Termination status and bounded contact screens"
S5,Supplement S5 normalized kinematics,"results/garment_kinematic_screen.csv; results/garment_kinematic_screen.json",scripts/run_garment_kinematic_screen.py,"Seven normalized compatible fields","Values behind Figure 9"
S6,Supplement S6 canonical sensor map,"references/garment_layout_normalized.json; references/sensor_layout.md","scripts/compose_generated_garment_layout.py; scripts/plot_garment_layout_publication.py","No FEBio case","Normalized map behind Figure 8"
S7,Supplement S7 selected local submodels,"results/garment_submodels.csv; results/garment_submodels.json","scripts/run_garment_submodels.py; scripts/plot_garment_submodels.py","garment_submodel_*","Six earlier moderate-strain local cases"
